[ 2016-02-05T10:02:18+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637737802 | INFO: Tag[ app_end ] --START--
[ 2016-02-05T10:02:18+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637737802 | INFO: Run SaveConfig Behavior [ RunTime:0.002000s ]
[ 2016-02-05T10:02:18+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637737802 | INFO: Tag[ app_end ] --END-- [ RunTime:0.002000s ]
[ 2016-02-05T10:02:59+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637779691 | INFO: Tag[ app_init ] --START--
[ 2016-02-05T10:02:59+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637779691 | INFO: Run XSS Behavior [ RunTime:0.002000s ]
[ 2016-02-05T10:02:59+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637779691 | INFO: Tag[ app_init ] --END-- [ RunTime:0.002000s ]
[ 2016-02-05T10:02:59+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637779691 | INFO: Tag[ route_check ] --START--
[ 2016-02-05T10:02:59+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637779691 | INFO: Run CheckRoute Behavior [ RunTime:0.003000s ]
[ 2016-02-05T10:02:59+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637779691 | INFO: Tag[ route_check ] --END-- [ RunTime:0.003000s ]
[ 2016-02-05T10:02:59+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637779691 | INFO: Tag[ app_begin ] --START--
[ 2016-02-05T10:02:59+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637779691 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-02-05T10:02:59+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637779691 | INFO: Run CheckLang Behavior [ RunTime:0.013001s ]
[ 2016-02-05T10:02:59+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637779691 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.017001s ]
[ 2016-02-05T10:03:00+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637779691 | NOTIC: [8] Undefined index: AuthCheckAction AuthCheckAction.class.php 第 54 行.
[ 2016-02-05T10:03:00+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637779691 | NOTIC: [2] in_array() expects parameter 2 to be array, null given AuthCheckAction.class.php 第 54 行.
[ 2016-02-05T10:03:00+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637779691 | NOTIC: [8] Undefined variable: i AuthCheckAction.class.php 第 57 行.
[ 2016-02-05T10:03:00+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637779691 | NOTIC: [8] Undefined index: AuthCheckAction AuthCheckAction.class.php 第 54 行.
[ 2016-02-05T10:03:00+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637779691 | NOTIC: [2] in_array() expects parameter 2 to be array, null given AuthCheckAction.class.php 第 54 行.
[ 2016-02-05T10:03:00+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637779691 | NOTIC: [8] Undefined index: AuthCheckAction AuthCheckAction.class.php 第 54 行.
