[ 2016-02-06T09:40:56+08:00 ] /pc_denglu.php?s=/Admin/index&_=1454722856028 | SQL: INSERT INTO `xtable_set` (`地址`,`标题`,`显示`,`排序`,`数组MD5`) VALUES ('/pc_denglu.php?s=/Admin/index','编号,登录帐号,管理员名�\�,所属权限组,登录次数,最近登录时�\�,最近登录IP,状�\�','1,1,1,1,1,1,1,1','0,1,2,3,4,5,6,7','38f0073ae5b61a044ff39231048f2799') [ RunTime:0.000000s ]
[ 2016-02-06T09:40:56+08:00 ] /pc_denglu.php?s=/Admin/index&_=1454722856028 | SQL: EXPLAIN ( SELECT a.*,b.name FROM admin as a left join (select c.admin_id,d.name from role_admin c inner join role d on c.role_id=d.id ) as b on b.admin_id=a.id WHERE 1 AND (1) ORDER BY last_login_time desc LIMIT 0,25   ) [ RunTime:0.036002s ]
[ 2016-02-06T09:40:56+08:00 ] /pc_denglu.php?s=/Admin/index&_=1454722856028 | SQL: ( SELECT a.*,b.name FROM admin as a left join (select c.admin_id,d.name from role_admin c inner join role d on c.role_id=d.id ) as b on b.admin_id=a.id WHERE 1 AND (1) ORDER BY last_login_time desc LIMIT 0,25   ) [ RunTime:0.002000s ]
[ 2016-02-06T09:40:56+08:00 ] /pc_denglu.php?s=/Admin/index&_=1454722856028 | SQL: select count(1) num  FROM admin as a left join (select c.admin_id,d.name from role_admin c inner join role d on c.role_id=d.id ) as b on b.admin_id=a.id WHERE 1 AND (1)  [ RunTime:0.001000s ]
[ 2016-02-06T09:40:56+08:00 ] /pc_denglu.php?s=/Admin/index&_=1454722856028 | INFO: Tag[ view_template ] --START--
[ 2016-02-06T09:40:56+08:00 ] /pc_denglu.php?s=/Admin/index&_=1454722856028 | INFO: Run LocationTemplate Behavior [ RunTime:0.003000s ]
[ 2016-02-06T09:40:56+08:00 ] /pc_denglu.php?s=/Admin/index&_=1454722856028 | INFO: Tag[ view_template ] --END-- [ RunTime:0.004000s ]
[ 2016-02-06T09:40:56+08:00 ] /pc_denglu.php?s=/Admin/index&_=1454722856028 | INFO: Tag[ view_parse ] --START--
[ 2016-02-06T09:40:56+08:00 ] /pc_denglu.php?s=/Admin/index&_=1454722856028 | INFO: Run ParseTemplate Behavior [ RunTime:0.020001s ]
[ 2016-02-06T09:40:56+08:00 ] /pc_denglu.php?s=/Admin/index&_=1454722856028 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.020001s ]
[ 2016-02-06T09:40:56+08:00 ] /pc_denglu.php?s=/Admin/index&_=1454722856028 | INFO: Tag[ view_filter ] --START--
